Average = 1.51118309590133
Coding	4.71416912172428
Conserved	8.81290666564651
CTCF	0
DGF	1.72157280814565
DHS	1.12366224128604
FANTOM5 Enhancer	0
Enhancer	2.49271248287933
Fetal DHS	1.85870232193209
H3K27ac (Hnisz)	1.06647293721306
H3K27ac (PGC2)	1.20319173598311
H3K4me1	1.22888444813259
H3K4me3	1.70946938807914
H3K9ac	2.13949926284645
Intron	0.78887401451358
PromoterFlanking	0.296298570196009
Promoter	1.85760561508878
Repressed	0.409263497282322
Super Enhancer	1.19284266523949
TFBS	2.22106414573641
Transcribed	0.779602029627326
TSS	3.76162347325486
3-prime UTR	3.23676983281486
5-prime UTR	3.46739100144306
Weak Enhancer	2.20029915742916
